date,neg,neu,pos
"April 26, 2023",0.0676,0.8430000000000002,0.08940000000000001
"April 25, 2023",0.07200000000000001,0.825,0.10300000000000001
"April 24, 2023",0.07,0.854,0.076
"April 21, 2023",0.08333333333333333,0.827,0.08966666666666667
"April 20, 2023",0.05639999999999999,0.8486,0.0948
"April 19, 2023",0.059,0.843,0.099
"April 18, 2023",0.07866666666666666,0.8336666666666667,0.08766666666666667
"April 17, 2023",0.0495,0.8434999999999999,0.1075
"April 14, 2023",0.275,0.69,0.036
"April 13, 2023",0.05000000000000001,0.8123333333333335,0.1376666666666667
"April 12, 2023",0.026,0.8945,0.08
"April 10, 2023",0.042,0.872,0.086
"April 7, 2023",0.098,0.8005,0.1015
"April 6, 2023",0.04766666666666666,0.8603333333333333,0.09233333333333334
"April 5, 2023",0.051,0.85,0.1
"April 4, 2023",0.06060000000000001,0.8493999999999999,0.0898
"April 3, 2023",0.056999999999999995,0.871,0.072
"April 2, 2023",0.071,0.806,0.123
"March 31, 2023",0.05728571428571428,0.8382857142857142,0.1042857142857143
"March 30, 2023",0.03525,0.8805000000000001,0.08425
"March 29, 2023",0.054000000000000006,0.8354999999999999,0.1105
