Local Date,Local Time,Close,Net,%Chg,Open,Low,High
24-Jul-2023,13:15,"7,891.48",+6.25,+0.08%,"7,885.85","7,885.85","7,892.62"
24-Jul-2023,13:10,"7,885.23",+3.23,+0.04%,"7,883.57","7,882.80","7,888.80"
24-Jul-2023,13:05,"7,882.00",-2.69,-0.03%,"7,885.03","7,879.14","7,885.03"
24-Jul-2023,13:00,"7,884.69",-0.27,-0.00%,"7,884.87","7,883.08","7,888.07"
24-Jul-2023,12:55,"7,884.96",+0.74,+0.01%,"7,883.63","7,881.41","7,887.70"
24-Jul-2023,12:50,"7,884.22",-3.46,-0.04%,"7,888.03","7,882.63","7,889.83"
24-Jul-2023,12:45,"7,887.68",-2.09,-0.03%,"7,889.90","7,885.84","7,890.36"
24-Jul-2023,12:40,"7,889.77",-3.62,-0.05%,"7,894.58","7,889.55","7,895.42"
24-Jul-2023,12:35,"7,893.39",+1.62,+0.02%,"7,892.23","7,890.20","7,899.27"
24-Jul-2023,12:30,"7,891.77",+7.09,+0.09%,"7,885.43","7,881.97","7,891.77"
24-Jul-2023,12:25,"7,884.68",-4.23,-0.05%,"7,890.69","7,882.49","7,890.69"
24-Jul-2023,12:20,"7,888.91",-13.21,-0.17%,"7,902.74","7,888.91","7,905.48"
24-Jul-2023,12:15,"7,902.12",+5.64,+0.07%,"7,897.62","7,895.75","7,903.30"
24-Jul-2023,12:10,"7,896.48",+2.31,+0.03%,"7,893.96","7,890.92","7,896.90"
24-Jul-2023,12:05,"7,894.17",-0.30,-0.00%,"7,894.41","7,891.05","7,898.34"
24-Jul-2023,12:00,"7,894.47",+3.76,+0.05%,"7,891.08","7,888.15","7,895.05"
24-Jul-2023,11:55,"7,890.71",+7.69,+0.10%,"7,883.75","7,883.75","7,892.72"
24-Jul-2023,11:50,"7,883.02",+4.18,+0.05%,"7,879.52","7,878.61","7,887.93"
24-Jul-2023,11:45,"7,878.84",+2.46,+0.03%,"7,876.85","7,874.31","7,880.02"
24-Jul-2023,11:40,"7,876.38",-11.05,-0.14%,"7,886.78","7,875.83","7,890.71"
24-Jul-2023,11:35,"7,887.43",-9.39,-0.12%,"7,896.61","7,885.87","7,896.61"
24-Jul-2023,11:30,"7,896.82",-10.61,-0.13%,"7,907.33","7,896.82","7,907.33"
24-Jul-2023,11:25,"7,907.43",-10.15,-0.13%,"7,918.28","7,907.16","7,918.28"
24-Jul-2023,11:20,"7,917.58",+9.75,+0.12%,"7,911.31","7,911.31","7,920.22"
24-Jul-2023,11:15,"7,907.83",+21.52,+0.27%,"7,887.72","7,884.81","7,907.83"
24-Jul-2023,11:10,"7,886.31",-6.37,-0.08%,"7,893.60","7,883.62","7,893.60"
24-Jul-2023,11:05,"7,892.68",-5.50,-0.07%,"7,899.30","7,889.28","7,900.70"
24-Jul-2023,11:00,"7,898.18",-3.23,-0.04%,"7,902.16","7,898.18","7,903.60"
24-Jul-2023,10:55,"7,901.41",+5.76,+0.07%,"7,893.33","7,891.22","7,901.98"
24-Jul-2023,10:50,"7,895.65",-6.62,-0.08%,"7,901.58","7,893.77","7,905.09"
24-Jul-2023,10:45,"7,902.27",+1.22,+0.02%,"7,897.91","7,897.91","7,907.02"
24-Jul-2023,10:40,"7,901.05",-3.94,-0.05%,"7,907.82","7,901.05","7,910.55"
24-Jul-2023,10:35,"7,904.99",-15.68,-0.20%,"7,916.75","7,904.99","7,923.47"
24-Jul-2023,10:30,"7,920.67",+3.07,+0.04%,"7,917.11","7,908.93","7,922.31"
24-Jul-2023,10:25,"7,917.60",+7.16,+0.09%,"7,910.14","7,905.51","7,917.60"
24-Jul-2023,10:20,"7,910.44",+13.86,+0.18%,"7,899.15","7,898.27","7,912.92"
24-Jul-2023,10:15,"7,896.58",+23.55,+0.30%,"7,873.46","7,868.24","7,896.58"
24-Jul-2023,10:10,"7,873.03",-5.75,-0.07%,"7,874.64","7,873.03","7,885.53"
