Local Date,Local Time,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,BTC_Log_Change,BTC_Bid_ask_spread
2023-09-27 14:55:00,2023-09-27 14:55:00,26259.43,26260.44,26262.8,26245.0,26250.5,320,13.4300000000003,-0.0004760680676810101,1.0099999999983993
2023-09-27 15:00:00,2023-09-27 15:00:00,26249.39,26250.41,26259.43,26227.0,26253.25,332,-10.0400000000009,0.00010475442239901902,1.0200000000004366
2023-09-27 15:05:00,2023-09-27 15:05:00,26256.0,26257.0,26256.31,26228.0,26240.0,367,6.61000000000058,-0.000504826821787395,1.0
2023-09-27 15:10:00,2023-09-27 15:10:00,26268.0,26269.0,26276.0,26254.5,26256.0,338,12.0,0.0006095702718466799,1.0
2023-09-27 15:15:00,2023-09-27 15:15:00,26275.99,26276.98,26276.01,26260.0,26268.0,311,7.9900000000016,0.00045693398099104764,0.9899999999979627
2023-09-27 15:20:00,2023-09-27 15:20:00,26252.0,26254.0,26276.0,26251.0,26267.5,325,-23.9900000000016,-1.9034747932877793e-05,2.0
2023-09-27 15:25:00,2023-09-27 15:25:00,26256.3,26257.3,26278.07,26239.0,26252.0,340,4.29999999999927,-0.0005902569693170084,1.0
2023-09-27 15:30:00,2023-09-27 15:30:00,26266.0,26267.0,26272.83,26240.0,26243.5,377,9.70000000000073,-0.0003238372841208363,1.0
2023-09-27 15:35:00,2023-09-27 15:35:00,26266.0,26271.0,26274.5,26258.0,26264.75,197,0.0,0.0008093966628145031,5.0
2023-09-27 15:40:00,2023-09-27 15:40:00,26266.0,26267.0,26270.71,26253.0,26267.5,243,0.0,0.00010469759062346004,1.0
2023-09-27 15:45:00,2023-09-27 15:45:00,26239.0,26240.0,26266.0,26235.0,26266.0,228,-27.0,-5.7106417825152066e-05,1.0
2023-09-27 15:50:00,2023-09-27 15:50:00,26243.0,26246.0,26244.0,26231.75,26244.0,193,4.0,-0.0008379356803370763,3.0
2023-09-27 15:55:00,2023-09-27 15:55:00,26242.0,26243.0,26246.0,26231.75,26244.0,146,-1.0,0.0,1.0
2023-09-27 16:00:00,2023-09-27 16:00:00,26245.0,26246.0,26246.0,26238.0,26242.75,156,3.0,-4.763106880251619e-05,1.0
2023-09-28 09:30:00,2023-09-28 09:30:00,26532.0,26533.0,26552.44,26509.0,26517.0,373,15.0,0.0004903717493259251,1.0
2023-09-28 09:35:00,2023-09-28 09:35:00,26526.0,26527.0,26551.22,26498.0,26532.0,508,-6.0,0.0005655149163889688,1.0
2023-09-28 09:40:00,2023-09-28 09:40:00,26499.0,26500.0,26543.47,26492.0,26514.0,475,-27.0,-0.0006786562866516955,1.0
2023-09-28 09:45:00,2023-09-28 09:45:00,26475.0,26476.0,26523.96,26463.0,26505.75,534,-24.0,-0.0003112047894070845,1.0
2023-09-28 09:50:00,2023-09-28 09:50:00,26471.0,26474.0,26501.14,26454.0,26478.75,546,-4.0,-0.0010191660707215555,3.0
2023-09-28 09:55:00,2023-09-28 09:55:00,26526.0,26529.0,26555.43,26470.75,26471.0,562,55.0,-0.00029273037381071193,3.0
2023-09-28 10:00:00,2023-09-28 10:00:00,26559.0,26560.0,26559.56,26500.95,26534.0,529,33.0,0.002377135352006481,1.0
2023-09-28 10:05:00,2023-09-28 10:05:00,26558.0,26559.0,26602.43,26530.0,26558.0,752,-1.0,0.0009040910734106343,1.0
2023-09-28 10:10:00,2023-09-28 10:10:00,26574.0,26576.0,26595.0,26500.95,26561.0,620,16.0,0.00011295393374079725,2.0
2023-09-28 10:15:00,2023-09-28 10:15:00,26573.0,26575.0,26593.31,26559.0,26574.0,524,-1.0,0.0004893196672396243,2.0
2023-09-28 10:20:00,2023-09-28 10:20:00,26573.0,26576.0,26591.5,26540.0,26574.0,557,0.0,0.0,3.0
2023-09-28 10:25:00,2023-09-28 10:25:00,26563.0,26565.0,26646.0,26549.0,26573.0,713,-10.0,-3.7631474970059146e-05,2.0
2023-09-28 10:30:00,2023-09-28 10:30:00,26602.0,26603.0,26630.1,26493.31,26563.0,874,39.0,-0.0003763926572590569,1.0
2023-09-28 10:35:00,2023-09-28 10:35:00,26619.0,26622.0,26632.61,26415.3,26602.0,825,17.0,0.0014671308942175193,3.0
2023-09-28 10:40:00,2023-09-28 10:40:00,26688.0,26696.0,26720.0,26523.41,26619.0,995,69.0,0.0006388455902058664,8.0
2023-09-28 10:45:00,2023-09-28 10:45:00,26775.0,26779.0,26793.5,26620.7,26691.0,1185,87.0,0.002701183409429639,4.0
2023-09-28 10:50:00,2023-09-28 10:50:00,26851.0,26860.0,26872.41,26743.3,26774.0,1167,76.0,0.003104837432965912,9.0
2023-09-28 10:55:00,2023-09-28 10:55:00,26848.0,26852.0,26871.47,26797.25,26837.64,1154,-3.0,0.00237411240886326,4.0
2023-09-28 11:00:00,2023-09-28 11:00:00,26781.97,26784.49,26902.5,26745.66,26849.0,1079,-66.0299999999988,0.00042319654087285294,2.5200000000004366
2023-09-28 11:05:00,2023-09-28 11:05:00,26819.0,26821.0,26829.25,26776.72,26781.0,1047,37.0299999999988,-0.0025358954481075184,2.0
2023-09-28 11:10:00,2023-09-28 11:10:00,26857.15,26859.71,26888.72,26807.15,26815.0,1070,38.1500000000015,0.0012687515695538312,2.5599999999976717
2023-09-28 11:15:00,2023-09-28 11:15:00,26898.69,26903.28,26907.42,26844.64,26857.15,1075,41.5399999999972,0.001570647297158858,4.5900000000001455
2023-09-28 11:20:00,2023-09-28 11:20:00,26781.0,26784.0,26905.1,26781.0,26880.0,975,-117.689999999999,0.0008504359229013237,3.0
2023-09-28 11:25:00,2023-09-28 11:25:00,26827.8,26890.0,26834.0,26781.0,26781.0,809,46.7999999999993,-0.003689834789614121,62.20000000000073
2023-09-28 11:30:00,2023-09-28 11:30:00,26854.38,26855.4,26863.49,26821.5,26834.0,563,26.5800000000017,0.001977059302945148,1.0200000000004366
2023-09-28 11:35:00,2023-09-28 11:35:00,26849.18,26850.19,26869.0,26822.9,26859.25,652,-5.20000000000073,0.0009405279755400376,1.0099999999983993
2023-09-28 11:40:00,2023-09-28 11:40:00,26875.0,26876.0,26897.47,26831.15,26853.0,465,25.8199999999997,-0.00023272158690833524,1.0
2023-09-28 11:45:00,2023-09-28 11:45:00,26906.0,26909.0,26941.51,26863.48,26875.0,625,31.0,0.0008189398909153312,3.0
2023-09-28 11:50:00,2023-09-28 11:50:00,26923.0,26924.0,26923.0,26835.0,26910.5,625,17.0,0.0013200585717360908,1.0
2023-09-28 11:55:00,2023-09-28 11:55:00,26938.0,26940.0,26964.0,26897.8,26923.0,814,15.0,0.0004643948554209036,2.0
2023-09-28 12:00:00,2023-09-28 12:00:00,27005.0,27006.0,27038.0,26924.58,26938.0,748,67.0,0.0005569893016393777,1.0
2023-09-28 12:05:00,2023-09-28 12:05:00,27129.0,27132.0,27141.0,26979.5,27006.0,949,124.0,0.0025211343622275283,3.0
2023-09-28 12:10:00,2023-09-28 12:10:00,27054.0,27065.0,27182.0,27039.0,27129.0,871,-75.0,0.0045442028876020975,11.0
2023-09-28 12:15:00,2023-09-28 12:15:00,27076.0,27077.0,27107.0,27047.63,27055.0,725,22.0,-0.002731435331754155,1.0
2023-09-28 12:20:00,2023-09-28 12:20:00,27112.0,27117.0,27151.25,27050.0,27084.25,694,36.0,0.0010805470281165749,5.0
2023-09-28 12:25:00,2023-09-28 12:25:00,27174.0,27175.0,27180.75,27029.63,27112.0,1033,62.0,0.0010240561819351052,1.0
2023-09-28 12:30:00,2023-09-28 12:30:00,27226.0,27228.0,27295.0,27140.16,27174.0,1156,52.0,0.002284199497381668,2.0
2023-09-28 12:35:00,2023-09-28 12:35:00,27169.95,27172.51,27263.0,27132.36,27225.0,1007,-56.0499999999993,0.0018750350168923494,2.5599999999976717
2023-09-28 12:40:00,2023-09-28 12:40:00,27159.21,27161.0,27226.0,27137.32,27191.0,920,-10.7400000000016,-0.0012496326236577449,1.7900000000008731
2023-09-28 12:45:00,2023-09-28 12:45:00,27159.7,27160.69,27212.47,27106.51,27200.0,827,0.490000000001601,0.000330937106585243,0.9899999999979627
2023-09-28 12:50:00,2023-09-28 12:50:00,27128.0,27130.0,27166.5,27039.1,27114.0,932,-31.7000000000007,-0.0031667736447540127,2.0
2023-09-28 12:55:00,2023-09-28 12:55:00,27105.68,27122.42,27189.45,27086.45,27128.0,826,-22.3199999999997,0.0005162051661398801,16.739999999997963
2023-09-28 13:00:00,2023-09-28 13:00:00,27059.0,27062.0,27167.1,27034.6,27160.5,871,-46.6800000000003,0.0011973071233324602,3.0
2023-09-28 13:05:00,2023-09-28 13:05:00,27101.22,27103.78,27132.0,27046.78,27059.0,812,42.2200000000012,-0.0037440448018813536,2.5599999999976717
2023-09-28 13:10:00,2023-09-28 13:10:00,27172.0,27177.0,27177.0,27084.86,27101.22,756,70.7799999999988,0.001559078177751127,5.0
2023-09-28 13:15:00,2023-09-28 13:15:00,27174.0,27175.0,27193.0,27120.41,27172.0,708,2.0,0.002608286006515748,1.0
2023-09-28 13:20:00,2023-09-28 13:20:00,27076.0,27078.0,27186.0,27057.21,27174.0,722,-98.0,7.360247307640363e-05,2.0
2023-09-28 13:25:00,2023-09-28 13:25:00,27146.0,27147.0,27147.0,27056.2,27076.0,826,70.0,-0.0036129071557706558,1.0
2023-09-28 13:30:00,2023-09-28 13:30:00,27084.36,27088.08,27147.45,27057.02,27131.25,656,-61.6399999999994,0.0020384734194054004,3.720000000001164
2023-09-28 13:35:00,2023-09-28 13:35:00,27130.86,27133.89,27140.0,27057.01,27093.25,724,46.5,-0.0014015806958363353,3.029999999998836
2023-09-28 13:40:00,2023-09-28 13:40:00,27147.0,27153.0,27155.5,27090.22,27140.0,621,16.1399999999994,0.001724035036792812,6.0
2023-09-28 13:45:00,2023-09-28 13:45:00,27139.79,27140.78,27153.5,27092.49,27149.0,587,-7.20999999999913,0.00033155888236833776,0.9899999999979627
2023-09-28 13:50:00,2023-09-28 13:50:00,27137.99,27139.01,27159.5,27095.92,27135.12,588,-1.79999999999927,-0.00051138345072133,1.0199999999967986
2023-09-28 13:55:00,2023-09-28 13:55:00,27150.53,27153.09,27167.51,27098.55,27141.0,617,12.5399999999972,0.00021666987334398536,2.5600000000013097
2023-09-28 14:00:00,2023-09-28 14:00:00,27150.84,27151.28,27171.5,27117.5,27165.5,622,0.31000000000131,0.0009022861595633356,0.4399999999986903
2023-09-28 14:05:00,2023-09-28 14:05:00,27180.79,27181.1,27196.98,27119.2,27157.0,735,29.9500000000007,-0.0003129458353120931,0.3099999999976717
2023-09-28 14:10:00,2023-09-28 14:10:00,27220.07,27221.46,27231.5,27149.45,27193.25,750,39.2799999999988,0.0013339407040543355,1.389999999999418
2023-09-28 14:15:00,2023-09-28 14:15:00,27216.06,27219.4,27232.96,27162.88,27231.5,834,-4.0099999999984,0.0014056107303266824,3.3400000000001455
2023-09-28 14:20:00,2023-09-28 14:20:00,27199.0,27204.0,27234.56,27165.39,27219.0,661,-17.0600000000013,-0.0004591326147449438,5.0
2023-09-28 14:25:00,2023-09-28 14:25:00,27150.0,27153.0,27218.49,27113.75,27199.0,721,-49.0,-0.0007350509353706846,3.0
2023-09-28 14:30:00,2023-09-28 14:30:00,27130.0,27134.0,27167.5,27111.25,27153.5,586,-20.0,-0.0016742564050798285,4.0
2023-09-28 14:35:00,2023-09-28 14:35:00,27077.05,27099.29,27150.21,27059.64,27124.51,668,-52.9500000000007,-0.0010682043338218828,22.2400000000016
2023-09-28 14:40:00,2023-09-28 14:40:00,27030.08,27031.94,27110.59,27019.44,27097.25,752,-46.9699999999975,-0.0010055004594732063,1.859999999996944
2023-09-28 14:45:00,2023-09-28 14:45:00,27041.54,27045.71,27076.0,27019.43,27028.95,660,11.4599999999991,-0.0025237329149845112,4.169999999998254
2023-09-28 14:50:00,2023-09-28 14:50:00,26913.0,26925.0,27054.0,26850.35,27054.0,877,-128.540000000001,0.0009263548601306608,12.0
2023-09-28 14:55:00,2023-09-28 14:55:00,26944.0,26960.0,26960.0,26859.08,26913.0,877,31.0,-0.005225427421745906,16.0
2023-09-28 15:00:00,2023-09-28 15:00:00,26966.0,26975.0,26971.5,26906.31,26944.0,684,22.0,0.001151196814659956,9.0
2023-09-28 15:05:00,2023-09-28 15:05:00,26934.0,26942.0,27013.0,26909.13,26952.51,709,-32.0,0.0003157903942470302,8.0
2023-09-28 15:10:00,2023-09-28 15:10:00,26967.0,26978.0,26967.0,26911.8,26934.0,527,33.0,-0.0006869994263131497,11.0
2023-09-28 15:15:00,2023-09-28 15:15:00,26964.07,26966.61,26999.0,26924.13,26967.0,550,-2.93000000000029,0.0012244672315219053,2.540000000000873
2023-09-28 15:20:00,2023-09-28 15:20:00,27064.0,27072.0,27068.0,26932.94,26970.25,712,99.9300000000003,0.00012051040807359786,8.0
2023-09-28 15:25:00,2023-09-28 15:25:00,27070.76,27074.32,27086.25,27014.5,27064.0,520,6.7599999999984,0.003470024810961952,3.5600000000013097
2023-09-28 15:30:00,2023-09-28 15:30:00,27078.01,27081.52,27113.75,27034.05,27034.05,587,7.25,-0.001107248895658613,3.5100000000020373
2023-09-28 15:35:00,2023-09-28 15:35:00,27108.02,27111.54,27125.0,27041.73,27078.01,601,30.010000000002,0.0016247767935957523,3.5200000000004366
2023-09-28 15:40:00,2023-09-28 15:40:00,27062.61,27064.64,27125.0,27026.52,27125.0,653,-45.4099999999999,0.001733852484279032,2.029999999998836
2023-09-28 15:45:00,2023-09-28 15:45:00,27102.13,27104.83,27130.44,27044.09,27082.25,723,39.5200000000004,-0.0015772801189077661,2.7000000000007276
2023-09-28 15:50:00,2023-09-28 15:50:00,27084.18,27085.19,27154.03,27045.67,27120.0,797,-17.9500000000007,0.0013929313304789298,1.0099999999983993
2023-09-28 15:55:00,2023-09-28 15:55:00,27068.28,27071.14,27094.41,27029.15,27050.51,571,-15.9000000000015,-0.0025656039833163247,2.860000000000582
2023-09-28 16:00:00,2023-09-28 16:00:00,27065.73,27084.91,27125.75,27039.69,27078.0,626,-2.54999999999927,0.0010157309840405026,19.18000000000029
2023-09-29 09:30:00,2023-09-29 09:30:00,27008.0,27009.0,27011.49,26943.41,26985.0,680,23.0,-0.0006020051583788501,1.0
2023-09-29 09:35:00,2023-09-29 09:35:00,27015.35,27017.88,27037.83,26952.07,27003.75,764,7.34999999999854,0.000694589178443083,2.530000000002474
